id,task_type,src,dst,label
node_25,node,25,-1,4
node_29,node,29,-1,6
node_30,node,30,-1,4
node_32,node,32,-1,4
node_43,node,43,-1,4
node_44,node,44,-1,6
node_45,node,45,-1,2
node_48,node,48,-1,3
node_49,node,49,-1,2
node_51,node,51,-1,1
node_56,node,56,-1,1
node_57,node,57,-1,2
node_59,node,59,-1,5
node_63,node,63,-1,2
node_67,node,67,-1,2
node_69,node,69,-1,3
node_70,node,70,-1,1
node_73,node,73,-1,0
node_76,node,76,-1,4
node_80,node,80,-1,0
node_87,node,87,-1,0
node_93,node,93,-1,0
node_96,node,96,-1,3
node_100,node,100,-1,3
node_102,node,102,-1,4
node_104,node,104,-1,4
node_109,node,109,-1,3
node_111,node,111,-1,2
node_124,node,124,-1,6
node_134,node,134,-1,3
node_135,node,135,-1,0
node_141,node,141,-1,5
node_149,node,149,-1,2
node_152,node,152,-1,4
node_157,node,157,-1,2
node_163,node,163,-1,1
node_166,node,166,-1,2
node_168,node,168,-1,0
node_170,node,170,-1,3
node_173,node,173,-1,4
node_175,node,175,-1,3
node_178,node,178,-1,4
node_179,node,179,-1,2
node_188,node,188,-1,4
node_194,node,194,-1,1
node_196,node,196,-1,1
node_199,node,199,-1,3
node_208,node,208,-1,3
node_210,node,210,-1,2
node_211,node,211,-1,5
node_212,node,212,-1,2
node_218,node,218,-1,4
node_221,node,221,-1,3
node_226,node,226,-1,2
node_229,node,229,-1,2
node_231,node,231,-1,3
node_233,node,233,-1,3
node_237,node,237,-1,1
node_239,node,239,-1,5
node_240,node,240,-1,4
node_246,node,246,-1,3
node_247,node,247,-1,0
node_251,node,251,-1,3
node_252,node,252,-1,3
node_254,node,254,-1,0
node_257,node,257,-1,5
node_259,node,259,-1,3
node_261,node,261,-1,3
node_270,node,270,-1,4
node_272,node,272,-1,5
node_279,node,279,-1,4
node_282,node,282,-1,4
node_289,node,289,-1,2
node_291,node,291,-1,6
node_296,node,296,-1,0
node_298,node,298,-1,1
node_309,node,309,-1,0
node_315,node,315,-1,2
node_318,node,318,-1,2
node_321,node,321,-1,4
node_322,node,322,-1,4
node_324,node,324,-1,5
node_332,node,332,-1,4
node_347,node,347,-1,2
node_353,node,353,-1,2
node_354,node,354,-1,6
node_361,node,361,-1,2
node_365,node,365,-1,1
node_367,node,367,-1,5
node_368,node,368,-1,3
node_387,node,387,-1,3
node_393,node,393,-1,2
node_402,node,402,-1,4
node_407,node,407,-1,0
node_408,node,408,-1,6
node_410,node,410,-1,2
node_411,node,411,-1,3
node_414,node,414,-1,4
node_420,node,420,-1,0
node_422,node,422,-1,3
node_430,node,430,-1,6
node_432,node,432,-1,3
node_433,node,433,-1,4
node_435,node,435,-1,2
node_436,node,436,-1,4
node_438,node,438,-1,0
node_439,node,439,-1,4
node_440,node,440,-1,0
node_443,node,443,-1,0
node_445,node,445,-1,5
node_450,node,450,-1,3
node_456,node,456,-1,0
node_457,node,457,-1,0
node_460,node,460,-1,2
node_461,node,461,-1,3
node_462,node,462,-1,5
node_463,node,463,-1,0
node_464,node,464,-1,5
node_471,node,471,-1,5
node_478,node,478,-1,4
node_479,node,479,-1,2
node_480,node,480,-1,3
node_482,node,482,-1,4
node_485,node,485,-1,1
node_486,node,486,-1,3
node_495,node,495,-1,3
node_498,node,498,-1,1
node_506,node,506,-1,5
node_507,node,507,-1,4
node_508,node,508,-1,3
node_509,node,509,-1,6
node_518,node,518,-1,3
node_521,node,521,-1,3
node_522,node,522,-1,3
node_527,node,527,-1,3
node_528,node,528,-1,0
node_530,node,530,-1,5
node_532,node,532,-1,2
node_535,node,535,-1,2
node_543,node,543,-1,3
node_544,node,544,-1,3
node_554,node,554,-1,4
node_557,node,557,-1,4
node_564,node,564,-1,2
node_565,node,565,-1,0
node_567,node,567,-1,0
node_568,node,568,-1,1
node_572,node,572,-1,5
node_581,node,581,-1,6
node_596,node,596,-1,2
node_599,node,599,-1,5
node_602,node,602,-1,3
node_605,node,605,-1,2
node_610,node,610,-1,4
node_611,node,611,-1,6
node_617,node,617,-1,6
node_620,node,620,-1,3
node_632,node,632,-1,4
node_649,node,649,-1,0
node_650,node,650,-1,3
node_651,node,651,-1,3
node_655,node,655,-1,3
node_657,node,657,-1,4
node_662,node,662,-1,2
node_670,node,670,-1,4
node_676,node,676,-1,6
node_677,node,677,-1,4
node_678,node,678,-1,0
node_679,node,679,-1,6
node_693,node,693,-1,4
node_695,node,695,-1,4
node_700,node,700,-1,2
node_705,node,705,-1,3
node_707,node,707,-1,4
node_741,node,741,-1,5
node_744,node,744,-1,4
node_746,node,746,-1,0
node_748,node,748,-1,2
node_755,node,755,-1,3
node_759,node,759,-1,3
node_761,node,761,-1,1
node_764,node,764,-1,1
node_765,node,765,-1,0
node_767,node,767,-1,3
node_772,node,772,-1,1
node_781,node,781,-1,3
node_782,node,782,-1,3
node_785,node,785,-1,3
node_786,node,786,-1,0
node_788,node,788,-1,0
node_789,node,789,-1,2
node_790,node,790,-1,3
node_794,node,794,-1,3
node_802,node,802,-1,3
node_809,node,809,-1,3
node_810,node,810,-1,3
node_817,node,817,-1,3
node_819,node,819,-1,3
node_821,node,821,-1,3
node_829,node,829,-1,2
node_831,node,831,-1,6
node_834,node,834,-1,2
node_838,node,838,-1,1
node_840,node,840,-1,2
node_845,node,845,-1,2
node_857,node,857,-1,1
node_858,node,858,-1,0
node_867,node,867,-1,4
node_869,node,869,-1,3
node_874,node,874,-1,2
node_881,node,881,-1,0
node_891,node,891,-1,4
node_900,node,900,-1,5
node_907,node,907,-1,3
