id,task_type,src,dst,label
node_0,node,0,-1,3
node_1,node,1,-1,4
node_2,node,2,-1,4
node_3,node,3,-1,0
node_4,node,4,-1,3
node_5,node,5,-1,2
node_6,node,6,-1,0
node_7,node,7,-1,3
node_8,node,8,-1,3
node_9,node,9,-1,2
node_10,node,10,-1,0
node_11,node,11,-1,0
node_12,node,12,-1,4
node_13,node,13,-1,3
node_14,node,14,-1,3
node_15,node,15,-1,3
node_16,node,16,-1,2
node_17,node,17,-1,3
node_18,node,18,-1,1
node_19,node,19,-1,3
node_20,node,20,-1,5
node_21,node,21,-1,3
node_22,node,22,-1,4
node_23,node,23,-1,6
node_24,node,24,-1,3
node_25,node,25,-1,3
node_26,node,26,-1,6
node_27,node,27,-1,3
node_28,node,28,-1,2
node_29,node,29,-1,4
node_30,node,30,-1,3
node_31,node,31,-1,6
node_32,node,32,-1,0
node_33,node,33,-1,4
node_34,node,34,-1,2
node_35,node,35,-1,0
node_36,node,36,-1,1
node_37,node,37,-1,5
node_38,node,38,-1,4
node_39,node,39,-1,4
node_40,node,40,-1,3
node_41,node,41,-1,6
node_42,node,42,-1,6
node_43,node,43,-1,4
node_44,node,44,-1,3
node_45,node,45,-1,3
node_46,node,46,-1,2
node_47,node,47,-1,5
node_48,node,48,-1,3
node_49,node,49,-1,4
node_50,node,50,-1,5
node_51,node,51,-1,3
node_52,node,52,-1,0
node_53,node,53,-1,2
node_54,node,54,-1,1
node_55,node,55,-1,4
node_56,node,56,-1,6
node_57,node,57,-1,3
node_58,node,58,-1,2
node_59,node,59,-1,2
node_60,node,60,-1,0
node_61,node,61,-1,0
node_62,node,62,-1,0
node_63,node,63,-1,4
node_64,node,64,-1,2
node_65,node,65,-1,0
node_66,node,66,-1,4
node_67,node,67,-1,5
node_68,node,68,-1,2
node_69,node,69,-1,6
node_70,node,70,-1,5
node_71,node,71,-1,2
node_72,node,72,-1,2
node_73,node,73,-1,2
node_74,node,74,-1,0
node_75,node,75,-1,4
node_76,node,76,-1,5
node_77,node,77,-1,6
node_78,node,78,-1,4
node_79,node,79,-1,0
node_80,node,80,-1,0
node_81,node,81,-1,0
node_82,node,82,-1,4
node_83,node,83,-1,2
node_84,node,84,-1,4
node_85,node,85,-1,1
node_86,node,86,-1,4
node_87,node,87,-1,6
node_88,node,88,-1,0
node_89,node,89,-1,4
node_90,node,90,-1,2
node_91,node,91,-1,4
node_92,node,92,-1,6
node_93,node,93,-1,6
node_94,node,94,-1,0
node_95,node,95,-1,0
node_96,node,96,-1,6
